order_id,product_id,qty,item_price
OZQHDCUE8,P5ZMH7B6K,3,41.71
OZQHDCUE8,PQEC3F6Y6,3,34.76
O3P61FDN4,P0NCYCXDG,2,38.75
O3P61FDN4,PCU4HC8L2,2,211.44
O3P61FDN4,PDN5IYXE7,1,58.23
O3P61FDN4,PDTBCMHPO,1,41.3
OG6AMTTBI,P4KVZUVBL,2,63.38
OG6AMTTBI,PCY7T5N9C,3,42.74
O2JNMM79P,PGXSZRDLR,3,43.36
O2JNMM79P,P7JFWZH6O,2,52.86
OYV9IP1ZY,P7JFWZH6O,3,52.86
OYV9IP1ZY,PG2MXVATI,1,32.28
OYV9IP1ZY,PW3NK5FWH,1,48.71
OXQL6D73O,PLQAZQ3DF,2,62.46
OXQL6D73O,PPHS5YGI1,3,55.42
O0LYDVCDR,PYOTD6ERS,2,92.21
O0LYDVCDR,POZQGPPEF,2,26.87
O0LYDVCDR,PTM7V3ZSI,2,43.81
O0FTB9436,PO3UAUO3M,1,68.44
O0FTB9436,PY1IECLAO,3,66.26
OCEJY5BZD,P58SQDZOX,1,108.96
OCEJY5BZD,PN5CDYY60,1,26.17
OCEJY5BZD,PWDAKG8V2,2,36.4
OYWURMXFA,PXHH5CP2V,3,68.77
OYWURMXFA,PSO7U6JD5,2,55.58
OYWURMXFA,PAZ1KIFN5,3,93.33
OYWURMXFA,P5ZREAHJR,1,81.24
O7MZDWHGK,PJM6PUPHI,1,29.97
OT60WUOGN,PG6VMO2LN,2,27.8
OT60WUOGN,PCY7T5N9C,1,42.74
O46KRIC9Y,PGWOUCP7R,1,36.25
O6TSGRP7D,P0QDP3RLZ,3,40.88
O6TSGRP7D,P4TGOTMB0,3,35.53
O7EHYI795,PAZ1KIFN5,3,93.33
OTN53RLJU,PHTRKL6NE,2,109.46
OHHPBHFQ4,PND5FS4UJ,3,45.75
OHHPBHFQ4,P2CZ6NYV8,1,34.28
OXWTED1YO,PI7FRTYT8,2,57.87
OXWTED1YO,PG6VMO2LN,2,27.8
OXWTED1YO,P4CBM0G5F,3,81.29
OC2RE4JSM,PYZ2CKOT1,3,64.67
OMVELB00C,PADXIRHVA,2,74.53
OMVELB00C,P4NY2AOZ7,3,34.46
OL6ZE23TD,PK8UWD6NE,3,42.51
OL6ZE23TD,PLOI0JAS6,1,52.83
OL6ZE23TD,PUZA2SQO6,1,56.5
OL6ZE23TD,PI7FRTYT8,3,57.87
OL6ZE23TD,PZIARVIYK,1,37.88
OL6ZE23TD,PG7FIZUQP,3,50.32
OL6ZE23TD,P04VGHM4A,1,46.53
OR5F1S926,PQQ2Y05JB,3,41.86
OR5F1S926,PVEO6QKZ8,2,76.62
OR5F1S926,PKB48W6ZM,2,47.82
OS6O57Z9H,PAL2MAIN6,2,55.23
OS6O57Z9H,PCQLSUDA7,1,41.4
OS6O57Z9H,P8ZSCG5QO,1,68.56
OQ3GB9B2K,PMVEGYWT6,2,68.9
O7I2XH1W2,PK3LRO821,3,98.17
O7I2XH1W2,P58SQDZOX,3,108.96
OKRLM3UM4,POZQGPPEF,1,26.87
OKRLM3UM4,P2F7M5YG5,2,57.33
OV7UKLDTO,PFRP8ML67,1,47.85
O451KOASR,PQ92MX2QJ,3,61.88
O1VV1BH5D,PU0NU04K9,1,52.03
O1VV1BH5D,PMGVMCV7Y,2,39.39
OQYI2EA3G,PTOT639I7,2,84.97
OQYI2EA3G,PIJK4T1C3,3,71.17
OCJ1OSRCQ,P1QB2QLBT,3,17.45
OCJ1OSRCQ,P7ENOOH1I,1,41.28
OCJ1OSRCQ,PMURR3BTM,3,47.82
OCJ1OSRCQ,PD29OF8WS,3,48.45
OCJ1OSRCQ,PK3LRO821,2,98.17
OCJ1OSRCQ,PGKTLMZX0,2,46.69
O4B95IGHG,PQW6GBKFV,1,23.21
O4B95IGHG,PPRGTNK88,2,64.24
OOAOO8TV9,PCY7T5N9C,3,42.74
OGWNQEYVF,PVG691HIN,3,21.81
OGWNQEYVF,PF1EALY1T,2,40.63
OGWNQEYVF,PVSWJKKW6,1,14.14
OHXY61NT0,PC4FHUS8J,3,41.37
OHXY61NT0,PPF7ND872,1,35.35
OHXY61NT0,PQ9AZMZ3P,1,41.14
OHXY61NT0,PQQ2Y05JB,1,41.86
OCEV6X6X7,PVG691HIN,3,21.81
OCEV6X6X7,PMVEGYWT6,3,68.9
OKE1W8XVH,P15ZVBQ89,1,64.41
OKE1W8XVH,PPBII9BKO,1,43.06
ODGK1B1VP,PYOTD6ERS,2,92.21
OTSEA3ARR,PU8AR8VJJ,1,28.53
