order_id,customer_id,order_ts,channel,coupon_code,total_amount
OZQHDCUE8,CXW4XO9L1,2025-04-20 12:32:11,Web,,229.41
O3P61FDN4,CMJ84812X,2025-07-31 17:47:11,Web,,599.91
OG6AMTTBI,CXQFXBYMO,2024-10-26 11:42:56,Web,,254.98
O2JNMM79P,CZZ3372A0,2024-08-05 20:52:52,Web,,235.8
OYV9IP1ZY,CYIG8O04A,2025-01-16 02:59:58,Web,,239.57
OXQL6D73O,CH04XJ4VE,2024-12-26 07:49:13,Web,,291.18
O0LYDVCDR,CJYNNNNPR,2025-01-27 03:35:56,Web,,325.78
O0FTB9436,CMA1FYFD9,2024-06-06 01:15:49,Web,,267.22
OCEJY5BZD,CZ7Z1A1AF,2024-06-06 00:28:40,Web,,207.93
OYWURMXFA,C65E0R162,2025-07-24 17:12:03,Web,,678.7
O7MZDWHGK,COBAP5FI4,2025-01-14 15:58:14,Web,,29.97
OT60WUOGN,CIZES6AY3,2024-09-23 00:55:49,Web,,98.34
O46KRIC9Y,CYL4169AL,2024-10-04 03:34:11,Web,,36.25
O6TSGRP7D,C4RCYRT9F,2025-05-05 00:20:04,Web,,229.23
O7EHYI795,C36GCQU6Q,2025-08-07 21:10:11,Web,,279.99
OTN53RLJU,CK5QJ2ER4,2025-06-04 23:35:58,Web,,218.92
OHHPBHFQ4,CRVHOJGUH,2025-03-14 07:10:52,Web,,171.53
OXWTED1YO,CJQWMA7A6,2025-03-17 13:55:47,Web,,415.21
OC2RE4JSM,CB7T9IXTQ,2024-08-04 18:32:04,Web,,194.01
OMVELB00C,C0572CHYE,2024-04-14 22:26:25,Web,,252.44
OL6ZE23TD,C2KAWQX8C,2025-01-07 18:35:43,Web,,645.84
OR5F1S926,CXTM69AKB,2025-07-13 09:03:29,Web,,374.46
OS6O57Z9H,CMSJZ40M3,2025-06-01 11:05:08,Web,,220.42
OQ3GB9B2K,C72XR7NO7,2024-06-27 23:44:46,Web,,137.8
O7I2XH1W2,CFHAU5VPJ,2024-11-30 08:31:18,Web,,621.39
OKRLM3UM4,C6ARG85NF,2024-08-17 12:54:51,Web,,141.53
